name	count
ENST00000634971.2	148
ENST00000380996.9	62
ENST00000647388.1	2308
ENST00000372718.8	66
ENST00000638931.1	1362
ENST00000571958.1	522
ENST00000328631.10	896
ENST00000533186.5	3858
ENST00000663483.1	3264
ENST00000330537.10	34
ENST00000635156.1	2
ENST00000431388.3	444
ENST00000381401.11	9764
ENST00000591032.1	944
ENST00000651948.2	1220
ENST00000576384.1	28
ENST00000447832.1	220
ENST00000652491.1	352
ENST00000370223.7	172
ENST00000642205.1	90
ENST00000234590.10	2072
ENST00000562530.5	12
ENST00000337943.9	700
ENST00000526917.5	2
ENST00000444334.5	68
ENST00000255681.7	1480
ENST00000369054.6	88
ENST00000563704.1	958
ENST00000412304.6	224
ENST00000361381.2	16298
ENST00000609708.1	1772
ENST00000361624.2	57782
ENST00000659152.1	268
ENST00000661723.1	1526
ENST00000644399.1	28
ENST00000309311.7	71170
ENST00000564464.1	2884
ENST00000557997.5	12
ENST00000638356.1	48840
ENST00000535126.1	100
ENST00000397264.4	898
ENST00000396465.5	810
ENST00000593642.5	296
ENST00000423485.6	1042
ENST00000623726.1	16992
ENST00000322203.7	11364
ENST00000397992.5	368
ENST00000541679.7	140
ENST00000435359.5	108
ENST00000627981.1	12576
ENST00000607858.1	244
ENST00000609974.1	62
ENST00000352035.7	102
ENST00000387347.2	34390
ENST00000606933.5	74
ENST00000599259.1	12
ENST00000376008.3	8
ENST00000566056.1	1160
ENST00000621356.3	540
ENST00000464218.5	550
ENST00000557413.6	4
ENST00000376014.7	4
ENST00000503768.6	62
ENST00000642095.1	230
ENST00000589656.6	1302
ENST00000524553.5	92
ENST00000656240.1	28
ENST00000623163.4	18
ENST00000642240.1	12
ENST00000429952.5	11230
ENST00000352983.7	3604
ENST00000423918.5	238
ENST00000673528.1	12580
ENST00000539919.5	384
ENST00000379772.3	26
ENST00000389680.2	17284
ENST00000627982.2	1324
ENST00000361789.2	32704
ENST00000247001.10	1870
ENST00000562774.1	134
ENST00000601079.6	522
ENST00000621050.1	2202
ENST00000647897.1	378
ENST00000291906.5	630
ENST00000521262.5	146
ENST00000559048.5	20
ENST00000576784.1	2274
ENST00000655276.1	184
ENST00000312962.12	138
ENST00000457390.1	66
ENST00000484859.1	456
ENST00000663947.1	13666
ENST00000547566.5	940
ENST00000618285.2	288
ENST00000427905.5	2762
ENST00000660012.2	2256
ENST00000355703.3	1016
ENST00000449103.5	110
ENST00000257940.7	78
ENST00000453848.6	236
ENST00000638475.1	258
ENST00000230050.4	7524
ENST00000428411.6	4686
ENST00000308736.7	434
ENST00000665027.1	98
ENST00000371717.8	286
ENST00000399219.7	110
ENST00000352301.8	896
ENST00000633253.1	1238
ENST00000221801.8	962
ENST00000458275.6	112
ENST00000669814.1	38
ENST00000469931.2	332
ENST00000336057.9	122
ENST00000648264.1	760
ENST00000270586.8	364
ENST00000655823.1	24
ENST00000616060.1	242
ENST00000656614.1	692
ENST00000323013.7	1320
ENST00000470830.5	2
ENST00000269397.9	2830
ENST00000329251.5	44596
ENST00000651076.1	4432
ENST00000252102.8	178
ENST00000444376.7	228
ENST00000352645.5	526
ENST00000414046.3	60
ENST00000341753.10	794
ENST00000631211.1	12626
ENST00000300026.3	3604
ENST00000399672.5	40
ENST00000660844.1	18
ENST00000556738.1	332
ENST00000442436.1	538
ENST00000612463.1	1378
ENST00000491934.2	3380
ENST00000325421.7	1506
ENST00000503695.4	2002
ENST00000536769.1	3794
ENST00000556979.5	2
ENST00000441435.1	154
ENST00000347869.8	1008
ENST00000396075.5	162
ENST00000221922.11	64
ENST00000313807.4	4992
ENST00000373264.5	138
ENST00000381831.7	80
ENST00000530398.1	1228
ENST00000337231.5	460
ENST00000394003.7	98
ENST00000395422.4	2880
ENST00000575087.5	786
ENST00000366535.4	116
ENST00000624919.1	5678
ENST00000425800.1	384
ENST00000297375.4	1944
ENST00000216218.8	1264
ENST00000421037.1	2
ENST00000361762.3	8
ENST00000373884.6	136
ENST00000550697.5	124
ENST00000488836.3	2
ENST00000499521.2	498
ENST00000253083.9	492
ENST00000372025.5	90
ENST00000535199.5	178
ENST00000525233.1	22
ENST00000598441.6	3238
ENST00000650181.1	2044
ENST00000246802.10	18356
ENST00000427374.2	122
ENST00000390329.3	308
ENST00000654743.1	176
ENST00000416209.2	2002
ENST00000407315.6	860
ENST00000507286.1	24
ENST00000421323.1	104
ENST00000376510.8	544
ENST00000279281.8	1342
ENST00000394308.8	56
ENST00000601893.1	66
ENST00000655095.1	654
mtSerTGA	3356
ENST00000641788.1	814
ENST00000331272.9	2352
ENST00000262584.7	1320
ENST00000361739.1	17468
ENST00000358290.9	66
ENST00000368309.4	426
ENST00000490437.5	10
ENST00000245816.11	186
ENST00000274606.7	428
ENST00000384782.1	316
ENST00000614672.2	232
ENST00000597619.1	3096
ENST00000598676.1	574
ENST00000663626.1	66
ENST00000316292.13	3754
ENST00000595655.1	822
ENST00000623543.1	4324
ENST00000635398.1	108
ENST00000261167.7	956
ENST00000625844.1	1238
ENST00000643984.2	252
ENST00000609770.1	2746
ENST00000615060.4	2632
ENST00000366684.7	50
ENST00000548971.5	14
ENST00000447748.5	250
ENST00000641074.1	504
ENST00000392205.2	38
ENST00000593888.4	58
ENST00000550367.1	284
ENST00000625336.2	34
ENST00000629969.1	10696
Homo_sapiens_chr1.trna69-AspGTC	3814
ENST00000439930.7	98
ENST00000419179.5	22
ENST00000216297.7	1046
ENST00000612542.1	10
ENST00000585496.1	1122
ENST00000536368.1	882
ENST00000302445.7	174
ENST00000309758.6	1858
ENST00000669286.1	222
ENST00000225698.8	2536
ENST00000527528.1	80
ENST00000581170.5	1332
ENST00000316084.10	16748
ENST00000399494.5	380
ENST00000578049.4	226
ENST00000505490.3	3730
ENST00000260443.9	576
ENST00000667934.1	208
ENST00000599612.3	192
ENST00000661429.1	102
ENST00000425762.2	108
ENST00000671261.1	140
ENST00000651080.1	286
ENST00000653677.1	150
ENST00000259818.8	692
ENST00000641433.1	5248
ENST00000347454.8	56
ENST00000591680.6	358
ENST00000662347.1	2610
ENST00000612262.1	822
