name	count
ENST00000233809.9	926
ENST00000623726.1	3782
ENST00000557344.5	16
ENST00000396987.7	110
ENST00000308219.13	8
ENST00000651472.1	64
ENST00000389462.8	126
ENST00000361624.2	25090
ENST00000600467.6	600
ENST00000306562.8	56
ENST00000635567.2	30
ENST00000445736.1	982
ENST00000331569.6	6448
ENST00000402541.5	12
ENST00000378251.3	672
ENST00000300527.9	236
ENST00000361789.2	20812
ENST00000592083.5	14
ENST00000376775.3	110
ENST00000361381.2	8514
ENST00000595090.6	240
ENST00000292330.3	82
ENST00000536769.1	1664
ENST00000361739.1	8028
ENST00000663772.1	12
ENST00000662922.1	222
ENST00000629969.1	13810
ENST00000572383.1	3594
ENST00000312049.10	26
ENST00000620532.1	88
ENST00000667169.1	12
ENST00000673221.1	16108
ENST00000380502.8	52
ENST00000471839.5	16
ENST00000372715.6	832
ENST00000253968.11	56
ENST00000443642.1	10
ENST00000625982.1	1218
ENST00000338970.10	1200
ENST00000583934.1	3038
ENST00000236067.8	34
ENST00000394077.8	882
ENST00000405506.2	202
ENST00000361567.2	9284
ENST00000587196.2	82
ENST00000422725.4	638
ENST00000423340.1	16
ENST00000653647.1	12
ENST00000581665.6	26
ENST00000370873.9	150
ENST00000371222.4	10378
ENST00000586746.5	64
ENST00000298630.8	38
ENST00000343677.3	222
ENST00000673528.1	16236
ENST00000396680.2	416
ENST00000359308.8	208
ENST00000543445.5	12
ENST00000614404.1	1866
ENST00000359060.5	34
ENST00000270583.10	30
ENST00000623420.1	98
ENST00000601847.1	4
ENST00000387347.2	13858
ENST00000490996.1	74
ENST00000553110.7	304
ENST00000344746.8	318
ENST00000504202.1	14
ENST00000547517.5	116
ENST00000320330.8	608
ENST00000533626.5	84
ENST00000313511.8	2574
ENST00000639292.1	2
ENST00000314940.7	2778
ENST00000279036.12	6
ENST00000279035.14	22
ENST00000543458.7	10
ENST00000227520.10	192
ENST00000252599.9	354
ENST00000013034.3	188
ENST00000420798.6	4
ENST00000569981.2	4636
ENST00000396070.6	78
ENST00000611921.4	62
ENST00000587327.5	232
ENST00000000442.11	24
ENST00000397766.4	26
ENST00000631211.1	16036
ENST00000300057.4	40
ENST00000422491.6	8
ENST00000591776.5	416
ENST00000474627.8	70
ENST00000660401.1	36
ENST00000399079.7	6
ENST00000396858.5	608
ENST00000661579.1	40
ENST00000553064.6	148
ENST00000620073.4	260
ENST00000645939.2	410
ENST00000262030.8	1568
ENST00000251453.8	276
ENST00000653390.1	8
ENST00000511900.5	248
ENST00000384278.1	116
ENST00000638356.1	37000
