name	count
ENST00000084795.9	258
ENST00000262428.5	118
ENST00000361624.2	20670
ENST00000599573.1	26
ENST00000618693.4	22
ENST00000546990.5	304
ENST00000376563.5	78
ENST00000361390.2	1728
ENST00000618723.4	550
ENST00000307365.4	2082
ENST00000466681.2	680
ENST00000449876.1	418
ENST00000261407.9	46
ENST00000546392.5	74
ENST00000530525.1	34
ENST00000372014.5	220
ENST00000656614.1	256
ENST00000447037.1	2
ENST00000590207.2	22
ENST00000649053.1	144
ENST00000458062.3	790
ENST00000610724.4	26
ENST00000644078.1	8
ENST00000631211.1	14032
ENST00000553344.2	346
ENST00000427905.5	744
ENST00000569598.6	16
ENST00000631357.2	186
ENST00000365387.1	224
ENST00000629969.1	12918
ENST00000594309.5	120
ENST00000655263.1	10
ENST00000395839.5	1940
ENST00000541279.1	28
ENST00000200457.9	440
ENST00000613030.4	12
ENST00000648264.1	188
ENST00000229379.3	2402
ENST00000581621.1	2972
ENST00000438610.5	48
ENST00000381401.11	3478
ENST00000503431.5	74
ENST00000447184.5	66
ENST00000625598.1	14412
ENST00000617568.2	256
ENST00000371222.4	9590
ENST00000396858.5	804
ENST00000535126.1	144
ENST00000603191.2	64
ENST00000433834.5	36
ENST00000542575.6	706
ENST00000278980.10	6
ENST00000446419.6	10
ENST00000225698.8	2918
ENST00000392541.3	150
ENST00000284110.2	114
ENST00000537947.5	14
ENST00000396651.8	1574
ENST00000638356.1	34386
ENST00000519973.6	80
ENST00000453535.1	76
ENST00000305105.3	800
ENST00000244496.6	624
ENST00000618303.1	124
ENST00000249289.5	138
ENST00000300026.3	3776
ENST00000331320.12	90
ENST00000398491.6	4
ENST00000450554.6	276
ENST00000661223.1	46
ENST00000252137.11	284
ENST00000308162.10	200
ENST00000406191.5	80
ENST00000613839.2	822
ENST00000620769.1	380
ENST00000615776.1	68
ENST00000433193.2	10
ENST00000518850.5	66
ENST00000445425.5	104
ENST00000409650.5	86
ENST00000372577.2	388
ENST00000568911.5	100
ENST00000673221.1	14412
ENST00000349048.9	1600
ENST00000626826.1	864
ENST00000611222.1	52
ENST00000309311.7	29904
ENST00000319826.8	114
ENST00000279259.7	514
ENST00000673477.1	140
ENST00000472509.5	36
ENST00000316084.10	6738
ENST00000455843.5	4
ENST00000401609.5	1508
ENST00000474973.5	86
ENST00000452032.6	114
ENST00000646357.1	2
ENST00000387347.2	14976
ENST00000326739.9	478
ENST00000634675.1	26
ENST00000589649.1	34
ENST00000391976.6	70
ENST00000362079.2	9828
ENST00000321265.10	1234
ENST00000416930.2	62
ENST00000627982.2	524
ENST00000413911.1	100
ENST00000355772.8	18
ENST00000361739.1	6434
ENST00000578152.5	16
ENST00000507716.5	8
ENST00000527914.5	664
ENST00000537869.5	4
ENST00000443966.2	202
ENST00000363473.1	270
ENST00000218230.6	2574
ENST00000436769.5	4
ENST00000501448.5	1188
ENST00000164133.7	76
ENST00000331569.6	5764
ENST00000627981.1	14522
ENST00000651948.2	498
ENST00000260443.9	132
ENST00000568588.5	1484
ENST00000371554.2	274
ENST00000249373.8	428
ENST00000315377.4	768
ENST00000514146.1	6
ENST00000647275.1	398
ENST00000375446.5	202
ENST00000343262.9	2920
ENST00000659293.1	2
ENST00000514682.5	168
ENST00000577574.5	174
ENST00000449710.5	16
ENST00000316939.3	2972
ENST00000552933.2	26
ENST00000506126.5	218
ENST00000652035.1	6
ENST00000389680.2	10176
ENST00000322177.5	374
ENST00000669286.1	38
ENST00000639447.1	84
ENST00000333762.6	2752
ENST00000337304.2	472
ENST00000434997.1	36
ENST00000562833.2	312
ENST00000371095.7	114
ENST00000525419.5	64
ENST00000374759.8	134
ENST00000602946.1	7236
ENST00000360565.8	1172
ENST00000438747.7	36
ENST00000331523.6	802
ENST00000308639.13	20
ENST00000315073.10	78
ENST00000429952.5	4378
ENST00000317881.9	3418
ENST00000530257.5	30
ENST00000367881.9	36
ENST00000225174.8	186
ENST00000631299.1	32
ENST00000361789.2	12646
ENST00000531962.2	1846
ENST00000612273.1	156
ENST00000642409.2	214
ENST00000558397.1	844
ENST00000367339.7	2
ENST00000553664.1	40
ENST00000656215.1	1140
ENST00000673528.1	14276
ENST00000412304.6	186
ENST00000634901.1	54
ENST00000262193.7	1858
ENST00000442436.1	282
ENST00000564352.1	98
ENST00000609687.5	112
ENST00000568783.5	326
ENST00000265056.12	262
ENST00000657207.1	8
ENST00000583934.1	3092
ENST00000488633.2	306
ENST00000395422.4	2632
ENST00000531115.5	34
ENST00000382252.6	318
ENST00000225729.8	110
ENST00000619352.4	340
ENST00000249014.5	1594
ENST00000215754.8	784
ENST00000613953.4	506
ENST00000366794.10	1380
ENST00000307662.5	42
ENST00000625297.1	36
ENST00000359003.7	14
ENST00000338758.11	68
ENST00000290155.8	12
ENST00000526468.1	6
ENST00000252971.11	458
ENST00000548547.5	8
ENST00000254193.11	202
ENST00000563357.1	30
ENST00000660012.2	672
ENST00000568685.1	736
ENST00000527323.5	38
ENST00000373044.3	1072
ENST00000647856.1	1744
ENST00000313468.10	174
ENST00000310931.9	84
ENST00000629606.2	152
ENST00000597346.1	1710
ENST00000265354.6	234
ENST00000569981.2	3722
ENST00000564195.1	112
ENST00000380903.7	56
ENST00000500949.6	784
ENST00000301464.4	4
ENST00000334586.10	172
ENST00000372428.8	20
ENST00000262746.5	126
ENST00000666972.1	14
Homo_sapiens_chr1.trna116-GluCTC	2742
ENST00000610057.1	580
ENST00000647623.1	116
ENST00000650021.1	142
Homo_sapiens_chr6.trna57-IleAAT	124
ENST00000293443.12	614
ENST00000553878.5	946
ENST00000670174.1	18
ENST00000225916.10	328
ENST00000667827.1	592
ENST00000314940.7	3004
ENST00000625256.1	532
ENST00000670588.1	370
ENST00000663947.1	5934
ENST00000235090.10	206
ENST00000368926.6	46
ENST00000431515.6	36
ENST00000396802.7	6
ENST00000334944.9	98
ENST00000271526.9	620
ENST00000374796.6	8
ENST00000260379.11	1824
ENST00000237654.9	210
ENST00000332935.6	14
ENST00000533194.5	32
ENST00000533952.5	78
ENST00000651012.1	240
ENST00000330503.12	264
ENST00000536368.1	466
ENST00000427831.1	1436
ENST00000367242.4	328
ENST00000553610.5	936
ENST00000670154.1	108
ENST00000443449.1	8
