name	count
ENST00000552766.5	348
ENST00000615637.3	3586
ENST00000522012.5	16
ENST00000361567.2	27392
ENST00000317977.10	6
ENST00000531761.5	6
ENST00000395631.6	4
ENST00000216122.9	340
ENST00000435630.5	152
ENST00000345264.10	24
ENST00000309268.11	2124
ENST00000498967.3	9710
ENST00000392464.3	54
ENST00000301019.9	5376
ENST00000615855.4	16
ENST00000368302.3	468
ENST00000361575.4	1498
ENST00000362079.2	32068
ENST00000337014.10	100
ENST00000423140.6	342
ENST00000344922.10	40
ENST00000327800.10	52
Homo_sapiens_chr1.trna69-AspGTC	3598
ENST00000591501.1	5920
ENST00000366922.3	1140
ENST00000340857.3	5080
ENST00000580979.1	1018
ENST00000647225.1	164
ENST00000361739.1	23504
ENST00000414773.5	24
ENST00000592514.5	150
ENST00000274562.13	56
ENST00000428740.5	30
ENST00000292330.3	1634
ENST00000469299.1	198
ENST00000372538.8	260
ENST00000458707.1	40
ENST00000643685.1	238
ENST00000252818.5	3940
ENST00000322203.7	12956
ENST00000551020.5	320
ENST00000466448.4	220
ENST00000599471.5	44
ENST00000216259.8	494
ENST00000602011.5	28
ENST00000378026.5	1846
ENST00000269740.9	146
ENST00000579260.5	1336
ENST00000608574.1	3546
ENST00000339399.5	5366
ENST00000664243.1	1652
ENST00000329421.8	11710
ENST00000219548.9	520
ENST00000529806.5	7130
ENST00000348462.6	3362
ENST00000505025.2	3022
ENST00000396680.2	1500
ENST00000625982.1	1704
ENST00000656614.1	518
ENST00000612935.4	20
ENST00000316292.13	2164
ENST00000263370.3	406
ENST00000605844.6	1376
ENST00000420330.1	838
ENST00000639997.1	406
ENST00000557530.1	630
ENST00000648264.1	1184
ENST00000563704.1	1020
ENST00000545908.6	366
ENST00000530225.5	10314
ENST00000398864.7	86
ENST00000657086.1	204
ENST00000409990.7	6
ENST00000641433.1	6984
ENST00000261819.8	178
ENST00000435607.3	20
ENST00000620962.1	1600
ENST00000341516.10	22
ENST00000658413.1	166
ENST00000656138.1	164
ENST00000530961.5	84
ENST00000499765.2	274
ENST00000505490.3	6892
ENST00000574616.2	706
ENST00000623857.3	406
ENST00000359435.8	64
ENST00000669287.1	476
ENST00000592699.5	10
ENST00000424351.1	116
ENST00000252939.9	570
ENST00000591462.5	444
ENST00000511703.6	32
ENST00000424890.1	298
ENST00000607222.1	308
ENST00000624166.3	6
ENST00000638356.1	29060
ENST00000657756.1	300
ENST00000665480.1	148
ENST00000367601.8	22
ENST00000427161.1	8294
ENST00000463142.1	34
ENST00000526566.2	884
ENST00000628984.1	132
ENST00000565181.1	2050
ENST00000644881.1	20
ENST00000576250.6	180
ENST00000299238.7	864
ENST00000473637.6	84
ENST00000279392.8	2658
ENST00000230122.3	68
ENST00000588717.1	266
ENST00000511821.1	8446
ENST00000616839.3	214
ENST00000623789.1	7242
ENST00000661321.1	300
ENST00000374980.3	3852
ENST00000460006.6	104
ENST00000311481.11	290
ENST00000455557.2	1520
ENST00000531833.1	6
ENST00000527595.5	228
ENST00000533218.1	180
ENST00000332810.4	728
ENST00000449470.6	338
ENST00000362482.1	286
ENST00000387347.2	23248
ENST00000672741.1	16
ENST00000532359.5	562
ENST00000397066.9	272
ENST00000340344.4	204
ENST00000664936.1	620
ENST00000598709.1	40
ENST00000603963.1	1124
ENST00000310981.6	988
ENST00000361624.2	82186
ENST00000623726.1	19320
ENST00000645300.1	1812
ENST00000611926.1	252
ENST00000379134.7	48
ENST00000335255.10	428
ENST00000291906.5	820
ENST00000630034.1	62
ENST00000498308.1	8
ENST00000389680.2	13936
