name	count
Homo_sapiens_chr14.trna12-LysTTT	636
ENST00000638356.1	14672
ENST00000371222.4	76
Homo_sapiens_chr16.trna1-ArgCCG	978
ENST00000387347.2	5488
ENST00000586352.5	20
ENST00000618998.1	704
Homo_sapiens_chr6.trna63-IleTAT	14
ENST00000441004.5	4
ENST00000434192.2	24
ENST00000593393.1	62
Homo_sapiens_chr11.trna15-PheGAA	446
Homo_sapiens_chr1.trna69-AspGTC	3066
ENST00000653934.1	2
ENST00000607850.1	8
ENST00000361567.2	606
mtValTAC	964
ENST00000389680.2	4674
ENST00000627981.1	6684
ENST00000616324.1	8
ENST00000553612.6	12
ENST00000664772.1	10
ENST00000625598.1	6974
ENST00000430176.5	2
ENST00000673528.1	6842
ENST00000629969.1	5920
Homo_sapiens_chr6.trna119-AlaCGC	114
ENST00000301785.7	12
ENST00000631211.1	6920
ENST00000257861.7	2
ENST00000424252.2	8
ENST00000651623.1	2
Homo_sapiens_chr11.trna8-SerGCT	1728
mtMetCAT	86
Homo_sapiens_chr1.trna107-AsnGTT	812
ENST00000656298.1	6
ENST00000611446.1	710
Homo_sapiens_chr1.trna116-GluCTC	3084
Homo_sapiens_chr14.trna13-LysCTT	2052
ENST00000625482.2	128
ENST00000673047.2	6
ENST00000663947.1	1572
ENST00000551104.5	4
ENST00000638132.1	26
ENST00000371649.5	24
Homo_sapiens_chr6.trna4-ArgTCG	120
ENST00000384314.1	20
Homo_sapiens_chr2.trna5-IleTAT	194
ENST00000597619.1	144
ENST00000297375.4	58
ENST00000449913.6	4
ENST00000536769.1	42
Homo_sapiens_chr1.trna134-GluTTC	222
ENST00000660799.1	666
ENST00000429952.5	1084
ENST00000624086.3	154
ENST00000663378.1	4
Homo_sapiens_chr11.trna12-ProTGG	112
mtAlaTGC	148
ENST00000428030.5	150
ENST00000647856.1	238
ENST00000373232.8	6
ENST00000647913.2	4
ENST00000600671.1	6
Homo_sapiens_chr1.trna119-LysCTT	3140
ENST00000339399.5	84
ENST00000502790.1	8
ENST00000530225.5	178
Homo_sapiens_chr11.trna4-LeuTAA	76
Homo_sapiens_chr14.trna2-LeuTAG	126
ENST00000515329.1	120
ENST00000561646.5	2
ENST00000499624.3	172
ENST00000372739.6	4
ENST00000673303.1	688
ENST00000651669.1	48
Homo_sapiens_chr3.trna2-ValAAC	186
ENST00000650335.1	42
ENST00000591665.1	4
ENST00000620010.3	8
ENST00000607598.2	2
Homo_sapiens_chr17.trna12-TrpCCA	510
ENST00000673221.1	6784
Homo_sapiens_chr15.trna7-GlnCTG	260
ENST00000597346.1	518
ENST00000647751.1	30
Homo_sapiens_chr1.trna58-LeuCAA	198
ENST00000563931.1	574
ENST00000665729.1	32
ENST00000576824.5	2
Homo_sapiens_chr17.trna19-ArgTCG	1038
ENST00000643616.1	476
ENST00000452320.3	426
ENST00000331523.6	78
ENST00000661723.1	36
ENST00000437369.5	2
ENST00000373150.8	8
ENST00000297518.4	4
ENST00000501143.1	8
ENST00000309311.7	1078
ENST00000449428.6	4
ENST00000611544.1	34
ENST00000253193.9	14
Homo_sapiens_chr11.trna16-ValTAC	162
ENST00000373230.7	4
ENST00000673592.1	690
ENST00000366384.4	4
Homo_sapiens_chr16.trna22-MetCAT	430
ENST00000620839.3	4
ENST00000634990.1	44
ENST00000560219.2	6
ENST00000662347.1	228
ENST00000600659.3	42
ENST00000610460.1	714
ENST00000435544.6	4
ENST00000325660.3	56
ENST00000364718.1	236
ENST00000602479.5	2
ENST00000377474.4	6
Homo_sapiens_chr2.trna2-TyrGTA	190
Homo_sapiens_chr16.trna34-GlyCCC	734
ENST00000630153.1	2
ENST00000341735.5	8
ENST00000286091.9	18
ENST00000648200.2	1050
ENST00000361390.2	296
ENST00000663483.1	56
ENST00000658413.1	10
Homo_sapiens_chr8.trna10-MetCAT	656
Homo_sapiens_chr16.trna10-LysCTT	206
ENST00000571197.1	378
ENST00000655322.1	170
ENST00000365055.1	260
ENST00000380752.10	114
ENST00000531180.1	4
Homo_sapiens_chr1.trna35-GlyGCC	1218
Homo_sapiens_chr6.trna146-GlnCTG	160
ENST00000364784.1	16
ENST00000309451.7	6
Homo_sapiens_chr1.trna85-ValCAC	508
ENST00000531962.2	426
Homo_sapiens_chr6.trna61-MetCAT	86
ENST00000320307.8	4
ENST00000002165.11	16
ENST00000315707.3	142
ENST00000384398.1	2
Homo_sapiens_chr14.trna1-LeuAAG	718
Homo_sapiens_chr2.trna3-AlaAGC	254
ENST00000373188.6	2
ENST00000622220.1	2
Homo_sapiens_chr1.trna26-AsnGTT	700
mtSerTGA	388
ENST00000386745.1	8
ENST00000618602.1	50
Homo_sapiens_chr14.trna6-ProTGG	254
ENST00000394048.9	2
ENST00000300935.8	2
ENST00000252804.9	2
Ecoli_Lys	120
ENST00000383925.1	132
ENST00000650749.1	2
ENST00000562349.1	2
ENST00000497492.1	14
ENST00000596311.5	2
ENST00000607749.1	392
ENST00000553507.1	2
ENST00000409115.7	44
ENST00000374550.8	30
ENST00000578152.5	6
Homo_sapiens_chr1.trna117-GlyTCC	592
ENST00000582730.6	2
ENST00000354185.9	96
ENST00000602602.2	2
Ecoli_Tyr	246
ENST00000563911.5	68
ENST00000600706.5	6
ENST00000455557.2	22
ENST00000581458.2	98
ENST00000383869.1	136
ENST00000658272.1	2
ENST00000671641.1	198
ENST00000610034.1	68
ENST00000549114.5	6
ENST00000475248.5	4
ENST00000627358.2	4
ENST00000363500.1	226
ENST00000523680.1	26
ENST00000610579.4	4
Homo_sapiens_chr7.trna3-ArgCCT	400
ENST00000459912.5	12
ENST00000365656.1	246
ENST00000607307.1	2
ENST00000434278.5	2
ENST00000413379.7	14
ENST00000402939.6	2
ENST00000379887.9	6
ENST00000651076.1	598
ENST00000616292.1	726
ENST00000610057.1	28
ENST00000635258.1	6
ENST00000261590.13	48
ENST00000600726.5	14
ENST00000607943.1	2
ENST00000361624.2	1186
ENST00000593642.5	20
ENST00000664466.1	12
ENST00000623440.1	648
ENST00000415386.2	70
ENST00000362464.1	226
Homo_sapiens_chr12.trna2-SerCGA	74
Homo_sapiens_chr17.trna10-GlyTCC	250
ENST00000624072.1	94
ENST00000523063.5	62
Homo_sapiens_chr1.trna32-MetCAT	698
ENST00000312108.11	2
ENST00000508000.6	6
Homo_sapiens_chr12.trna13-AlaTGC	636
Homo_sapiens_chr3.trna10-GluCTC	12
ENST00000606697.5	10
Homo_sapiens_chr19.trna8-SeCeTCA	268
ENST00000599395.5	6
ENST00000644406.1	220
ENST00000364485.1	254
ENST00000540468.5	12
ENST00000337304.2	50
ENST00000216080.5	8
ENST00000296255.8	48
ENST00000426083.5	2
ENST00000336057.9	4
ENST00000541810.5	2
Homo_sapiens_chr6.trna124-ArgTCG	366
ENST00000623527.4	2
ENST00000550419.5	2
ENST00000634349.1	2
ENST00000635721.1	28
ENST00000643754.2	22
ENST00000566501.5	18
Homo_sapiens_chr11.trna17-ValTAC	290
ENST00000522771.9	4
ENST00000611744.1	2
ENST00000215754.8	16
ENST00000301019.9	72
ENST00000435634.3	12
ENST00000356948.11	6
ENST00000643882.1	140
ENST00000626826.1	172
ENST00000434849.3	10
Homo_sapiens_chr6.trna120-AlaAGC	376
ENST00000222345.11	4
ENST00000634837.1	2
ENST00000425211.5	2
ENST00000276079.13	16
ENST00000612463.1	734
ENST00000653270.1	4
ENST00000440851.6	6
ENST00000498557.5	8
Homo_sapiens_chr1.trna47-AsnGTT	150
ENST00000520141.5	32
ENST00000229239.10	44
ENST00000611010.4	4
ENST00000356657.10	2
ENST00000361899.2	442
ENST00000628224.2	6
ENST00000614077.4	30
Homo_sapiens_chr16.trna2-ArgCCT	82
ENST00000586600.5	2
ENST00000442456.4	16
ENST00000378756.8	6
