name	count
ENST00000361681.2	3796
ENST00000638356.1	41620
ENST00000599898.5	464
ENST00000635236.1	2
ENST00000362079.2	11046
ENST00000457313.5	8
ENST00000592623.5	192
ENST00000527673.2	212
ENST00000367142.5	516
ENST00000262213.7	20
ENST00000301788.12	294
ENST00000258711.7	52
ENST00000329251.5	9610
ENST00000361789.2	19352
ENST00000371443.6	586
ENST00000284690.4	94
Homo_sapiens_chr14.trna13-LysCTT	2148
ENST00000427161.1	5170
ENST00000265112.7	8
ENST00000590550.6	60
ENST00000369064.8	14
ENST00000240328.4	280
ENST00000424325.6	306
ENST00000252818.5	566
ENST00000361624.2	21604
ENST00000389462.8	164
ENST00000409939.8	978
ENST00000663947.1	7470
ENST00000657339.1	2
ENST00000361739.1	8180
ENST00000662723.1	182
ENST00000397763.5	34
ENST00000652505.1	72
ENST00000621261.1	32
ENST00000572453.1	138
ENST00000659090.1	20
ENST00000343986.9	236
ENST00000616292.1	1336
ENST00000219302.7	50
ENST00000401722.7	60
ENST00000413758.1	16
ENST00000570843.1	352
ENST00000371222.4	256
ENST00000673528.1	16928
ENST00000409416.6	42
ENST00000554988.1	220
ENST00000661761.1	194
ENST00000591032.1	192
ENST00000355837.4	214
ENST00000369707.2	6
ENST00000452431.5	426
ENST00000627981.1	17004
ENST00000564815.5	38
ENST00000387943.1	4
ENST00000370487.5	150
ENST00000671357.1	128
ENST00000525436.1	50
ENST00000392712.7	14
ENST00000589183.1	10
ENST00000647516.1	6
ENST00000357410.7	4
ENST00000310645.9	52
ENST00000510019.5	74
ENST00000588204.1	48
ENST00000661331.1	180
ENST00000566405.5	138
ENST00000413834.5	26
ENST00000355528.9	34
ENST00000410396.1	90
ENST00000660986.1	96
ENST00000429952.5	4848
ENST00000668983.1	1350
ENST00000482278.5	26
ENST00000524496.5	190
Homo_sapiens_chr16.trna22-MetCAT	420
ENST00000656724.1	26
ENST00000378842.7	8
ENST00000558081.3	354
ENST00000666662.1	160
ENST00000361567.2	7682
ENST00000315707.3	100
ENST00000265462.9	576
ENST00000366384.4	24
ENST00000359337.9	76
ENST00000436079.1	26
ENST00000524074.1	58
ENST00000609972.1	326
ENST00000617111.2	28
ENST00000312960.4	328
ENST00000370489.5	64
ENST00000215071.8	112
ENST00000314523.7	44
ENST00000367558.6	118
ENST00000361899.2	4314
ENST00000397588.8	2
ENST00000575126.1	42
ENST00000552766.5	118
ENST00000465788.1	30
ENST00000361813.5	704
ENST00000571975.1	764
ENST00000359930.8	14
ENST00000625598.1	16860
ENST00000552360.4	274
ENST00000302708.9	16
ENST00000645856.2	112
ENST00000601968.5	108
ENST00000620216.4	94
ENST00000309311.7	17754
ENST00000391851.8	104
ENST00000394920.6	638
ENST00000261867.5	4
ENST00000576784.1	1308
ENST00000595302.1	32
ENST00000340857.3	956
ENST00000545891.5	4
ENST00000657794.1	34
ENST00000423222.5	180
ENST00000361381.2	7206
ENST00000670749.1	52
ENST00000216218.8	162
ENST00000353341.8	150
ENST00000509535.5	184
ENST00000512797.5	104
ENST00000586183.5	4
ENST00000234875.9	426
ENST00000491934.2	820
ENST00000412298.5	118
ENST00000627714.2	100
ENST00000610704.5	296
ENST00000462328.2	10
ENST00000425118.5	68
ENST00000371221.3	74
ENST00000673592.1	1390
ENST00000398344.8	20
ENST00000407315.6	184
Homo_sapiens_chr1.trna119-LysCTT	3180
ENST00000569438.2	194
ENST00000225430.9	428
ENST00000513420.1	6
ENST00000579260.5	352
ENST00000040877.2	126
ENST00000334828.6	424
ENST00000509253.5	410
ENST00000658617.2	298
ENST00000300131.8	24
ENST00000656215.1	778
ENST00000514210.5	10
ENST00000317509.12	12
ENST00000393891.8	50
ENST00000615178.4	44
ENST00000627260.1	172
ENST00000665097.1	28
ENST00000643616.1	2092
ENST00000409860.1	46
ENST00000328703.12	86
ENST00000649603.1	32
ENST00000221448.9	238
ENST00000673221.1	16936
ENST00000489432.6	38
ENST00000272102.10	94
ENST00000264020.6	22
ENST00000263694.9	570
ENST00000234198.9	200
ENST00000631211.1	16684
ENST00000602911.5	112
ENST00000629969.1	15260
ENST00000291900.7	50
ENST00000657387.1	2
ENST00000452320.3	1410
Homo_sapiens_chr1.trna68-GlyGCC	652
Homo_sapiens_chr1.trna111-HisGTG	148
ENST00000422890.5	48
ENST00000336458.13	50
ENST00000397011.2	132
ENST00000296417.6	282
ENST00000408974.8	26
ENST00000393784.8	268
ENST00000668940.1	58
ENST00000372634.1	116
ENST00000426651.1	304
ENST00000321153.9	580
ENST00000503660.5	2
ENST00000262554.7	78
ENST00000366855.10	20
ENST00000202773.13	362
ENST00000354333.5	50
ENST00000298694.9	8
mtSerTGA	1516
ENST00000624919.1	1976
ENST00000462959.2	2
ENST00000673105.1	66
ENST00000438031.2	16
ENST00000530022.5	166
ENST00000632401.1	6
ENST00000354488.8	240
ENST00000287652.8	18
ENST00000441154.5	20
ENST00000395719.7	6
ENST00000384010.1	190
ENST00000517671.5	204
ENST00000456400.1	128
ENST00000412368.7	32
ENST00000329492.6	72
ENST00000384674.1	100
