reference	canon_var1	canon_var2	cond	#samples	odds	consistent	pval_cor	avg_odds
Homo_sapiens_tRNA-Met-CAT-4	20a	26	control_total	3	[-0.43437307 -0.29448572 -0.22717947]	True	[0.0153038  0.17438396 0.44266833]	-0.3186794210877662
Homo_sapiens_tRNA-Met-CAT-4	20a	58	control_total	3	[-0.18171365 -0.45691569  0.42834911]	False	[0.66315246 0.10255302 0.21340586]	-0.07009341002323434
Homo_sapiens_tRNA-Met-CAT-4	20a	Charged	control_total	3	[-0.12255729 -0.07554037  0.132313  ]	False	[0.42339332 0.71040196 0.53021277]	-0.021928223695025745
Homo_sapiens_tRNA-Met-CAT-4	26	58	control_total	3	[ 0.37651672 -0.18230774  0.8089706 ]	False	[0.29474635 0.81951607 0.04171564]	0.3343931970224319
Homo_sapiens_tRNA-Met-CAT-4	26	Charged	control_total	3	[0.63454955 0.3392922  0.44163501]	True	[0.00011928 0.09171492 0.07554782]	0.4718255869297656
Homo_sapiens_tRNA-Met-CAT-4	58	Charged	control_total	3	[ 0.18655016 -0.2224922   0.17889842]	False	[0.09713311 0.04349719 0.27792294]	0.047652128238112636
Homo_sapiens_tRNA-Met-CAT-4	20a	26	heatshock_total	3	[-0.1065949  -0.98341182 -0.72132205]	True	[6.51032421e-01 5.72705860e-06 2.28476969e-03]	-0.6037762561551693
Homo_sapiens_tRNA-Met-CAT-4	20a	58	heatshock_total	3	[-0.2225911   0.11072677  0.26200207]	False	[0.43451434 0.81464961 0.545253  ]	0.050045911713807865
Homo_sapiens_tRNA-Met-CAT-4	20a	Charged	heatshock_total	3	[0.02158819 0.18124273 0.05818348]	True	[0.94502954 0.29548843 0.84125   ]	0.08700480114937331
Homo_sapiens_tRNA-Met-CAT-4	26	58	heatshock_total	3	[0.37762845 0.80352664 0.87104207]	True	[0.26347444 0.04766857 0.05389614]	0.6840657207303217
Homo_sapiens_tRNA-Met-CAT-4	26	Charged	heatshock_total	3	[0.33723082 0.44888291 0.61302795]	True	[0.05996096 0.1315509  0.02855669]	0.4663805613805909
Homo_sapiens_tRNA-Met-CAT-4	58	Charged	heatshock_total	3	[ 0.34556449  0.14408819 -0.04137567]	False	[4.66424565e-04 4.56319208e-01 9.05589414e-01]	0.14942567156426964
Homo_sapiens_tRNA-Met-CAT-4	20a	26	H2O2_total	3	[-0.78290956 -0.65758839 -1.28018506]	True	[1.87788612e-02 1.76226532e-02 4.80205834e-06]	-0.9068943358565056
Homo_sapiens_tRNA-Met-CAT-4	20a	58	H2O2_total	3	[-0.56808501 -0.00858822  0.05570414]	False	[0.29481656 1.         0.97309689]	-0.17365636195213796
Homo_sapiens_tRNA-Met-CAT-4	20a	Charged	H2O2_total	3	[ 0.3157136   0.21304197 -0.26240823]	False	[0.10123648 0.31150785 0.17111632]	0.0887824459657744
Homo_sapiens_tRNA-Met-CAT-4	26	58	H2O2_total	3	[-0.02466628  0.23222092  0.29645346]	False	[1.         0.69661069 0.61393591]	0.16800270066297504
Homo_sapiens_tRNA-Met-CAT-4	26	Charged	H2O2_total	3	[-0.36186293 -0.62543606 -0.00523456]	True	[0.28732505 0.00816666 1.        ]	-0.3308445164851733
Homo_sapiens_tRNA-Met-CAT-4	58	Charged	H2O2_total	3	[-0.00912637  0.15869138  0.31781947]	False	[1.         0.38716548 0.01103886]	0.15579482707805614
Homo_sapiens_tRNA-Met-CAT-4	20a	26	NaAsO2_total	3	[ 0.18162262  0.18556511 -0.07097617]	False	[0.30292498 0.41293432 0.82359847]	0.09873718712017704
Homo_sapiens_tRNA-Met-CAT-4	20a	58	NaAsO2_total	3	[-0.10843269 -0.46292151 -1.03805274]	True	[7.85494417e-01 1.27546675e-01 2.99275777e-05]	-0.5364689819608673
