reference	canon_var1	canon_var2	cond	#samples	odds	consistent	pval_cor	avg_odds
Homo_sapiens_tRNA-Met-CAT-4	20a	26	minus-AsO2_control-shRNA	2	[-0.69281849 -0.85140587]	True	[3.88990407e-06 1.57400178e-33]	-0.7721121816772417
Homo_sapiens_tRNA-Met-CAT-4	20a	58	minus-AsO2_control-shRNA	2	[-0.51342658 -0.68433298]	True	[4.10564606e-03 3.10686903e-16]	-0.5988797817410492
Homo_sapiens_tRNA-Met-CAT-4	20a	Charged	minus-AsO2_control-shRNA	2	[-0.55334799 -0.78907057]	True	[1.07066095e-03 1.27648665e-37]	-0.6712092803618388
Homo_sapiens_tRNA-Met-CAT-4	26	58	minus-AsO2_control-shRNA	2	[-0.09289572 -0.29134899]	True	[0.87890049 0.07893128]	-0.1921223561041609
Homo_sapiens_tRNA-Met-CAT-4	26	Charged	minus-AsO2_control-shRNA	2	[0.92226631 0.05029201]	True	[1.65532023e-04 7.63716546e-01]	0.48627915684886147
Homo_sapiens_tRNA-Met-CAT-4	58	Charged	minus-AsO2_control-shRNA	2	[-0.97244617 -0.407334  ]	True	[2.20989370e-08 2.26589368e-07]	-0.6898900848896445
Homo_sapiens_tRNA-Met-CAT-4	20a	26	plus-AsO2_control-shRNA	2	[-0.62857148 -0.47068546]	True	[9.33693326e-11 4.52585215e-10]	-0.5496284680826472
Homo_sapiens_tRNA-Met-CAT-4	20a	58	plus-AsO2_control-shRNA	2	[-0.18201239 -0.29884961]	True	[0.16193089 0.00116221]	-0.24043099802677284
Homo_sapiens_tRNA-Met-CAT-4	20a	Charged	plus-AsO2_control-shRNA	2	[-0.59599413  0.00122422]	False	[5.88898125e-11 1.00000000e+00]	-0.2973849560701298
Homo_sapiens_tRNA-Met-CAT-4	26	58	plus-AsO2_control-shRNA	2	[0.12061437 0.23593483]	True	[0.61780207 0.11503868]	0.1782745988656262
Homo_sapiens_tRNA-Met-CAT-4	26	Charged	plus-AsO2_control-shRNA	2	[-0.08689627  0.15149188]	False	[0.72836416 0.26424362]	0.03229780598603373
Homo_sapiens_tRNA-Met-CAT-4	58	Charged	plus-AsO2_control-shRNA	2	[-0.08641354 -0.53359536]	True	[5.59738786e-01 1.75002752e-14]	-0.31000445065011645
Homo_sapiens_tRNA-Met-CAT-4	20a	26	minus-AsO2_shRNAW	3	[-0.76076327 -0.81990897 -0.80866543]	True	[2.27093523e-12 1.04968418e-15 2.35698733e-09]	-0.7964458924958863
Homo_sapiens_tRNA-Met-CAT-4	20a	58	minus-AsO2_shRNAW	3	[-0.58391144 -0.40584517 -0.32184279]	True	[6.25689886e-07 8.24624795e-04 4.90869942e-02]	-0.43719980119732677
Homo_sapiens_tRNA-Met-CAT-4	20a	Charged	minus-AsO2_shRNAW	3	[-0.33455609 -0.3712457  -0.11721557]	True	[3.18977500e-04 1.44301298e-05 4.60602281e-01]	-0.2743391218653161
Homo_sapiens_tRNA-Met-CAT-4	26	58	minus-AsO2_shRNAW	3	[ 0.50230968  0.17643425 -0.22130398]	False	[0.00427806 0.43234873 0.53396039]	0.15247998561537957
Homo_sapiens_tRNA-Met-CAT-4	26	Charged	minus-AsO2_shRNAW	3	[-0.02570716  0.10879701  0.33064784]	False	[0.94919192 0.60900207 0.12756259]	0.13791256340200883
