name	count
ENST00000302503.8	58
ENST00000296388.10	44
ENST00000331334.5	1114
ENST00000374518.6	128
ENST00000000233.10	490
ENST00000572383.1	2888
ENST00000274606.7	272
ENST00000590881.1	22
ENST00000338825.5	1394
ENST00000500949.6	866
ENST00000368563.6	102
ENST00000591776.5	418
ENST00000361739.1	6818
ENST00000392514.9	374
ENST00000577640.1	1434
ENST00000392662.5	4
ENST00000266079.5	736
ENST00000460189.1	54
ENST00000309311.7	28406
ENST00000405308.6	58
ENST00000618998.1	1646
ENST00000645656.1	386
ENST00000269392.8	20
ENST00000503641.5	48
ENST00000262776.8	296
ENST00000673221.1	21890
Homo_sapiens_chr1.trna69-AspGTC	3550
ENST00000316939.3	2738
ENST00000313511.8	3074
ENST00000370211.8	106
ENST00000599898.5	764
ENST00000381401.11	3766
ENST00000380325.4	1366
ENST00000650629.1	34
ENST00000593761.5	18
ENST00000448750.7	180
ENST00000537445.5	18
ENST00000668983.1	1030
ENST00000594784.1	26
ENST00000334163.4	180
ENST00000222374.3	254
ENST00000506502.2	10
ENST00000316084.10	5742
ENST00000535144.5	36
ENST00000642677.1	44
ENST00000387347.2	26758
ENST00000595909.2	92
ENST00000522352.5	18
ENST00000672226.1	108
ENST00000593393.1	476
ENST00000261623.8	888
ENST00000547387.1	852
ENST00000539143.5	34
ENST00000439647.5	46
ENST00000460219.2	70
ENST00000576390.5	160
ENST00000612522.1	132
ENST00000395831.7	10
Homo_sapiens_chr6.trna144-AspGTC	94
ENST00000658088.1	12
ENST00000400256.5	42
ENST00000430246.6	66
ENST00000587845.5	260
ENST00000467825.2	1796
ENST00000268482.8	388
ENST00000653312.1	956
ENST00000506504.3	1110
ENST00000310442.5	138
ENST00000534603.5	4
ENST00000631211.1	22412
ENST00000523081.2	124
ENST00000347512.8	314
ENST00000361789.2	16588
ENST00000643490.2	210
ENST00000368408.4	112
ENST00000333762.6	1638
ENST00000361624.2	21844
ENST00000369655.3	16
ENST00000369937.5	922
ENST00000494232.5	68
ENST00000275767.3	66
ENST00000366653.5	6
ENST00000592283.1	6
ENST00000627981.1	22100
ENST00000662693.1	18
ENST00000629969.1	18668
ENST00000638356.1	73688
ENST00000584026.5	6
ENST00000312397.10	1246
ENST00000263694.9	464
ENST00000465271.6	76
ENST00000303305.11	716
ENST00000427111.4	1228
ENST00000660578.1	130
ENST00000526986.5	22
ENST00000625598.1	22376
ENST00000379160.3	84
ENST00000225525.4	128
ENST00000627059.2	156
ENST00000395240.7	184
ENST00000416970.5	118
ENST00000489459.5	306
ENST00000381342.6	748
ENST00000673528.1	22446
ENST00000644774.1	458
ENST00000372108.9	66
ENST00000368814.8	14
ENST00000355968.10	262
ENST00000376563.5	74
ENST00000384278.1	274
ENST00000623789.1	1262
ENST00000556831.5	26
ENST00000638931.1	580
ENST00000554539.5	56
ENST00000578495.5	78
ENST00000409711.1	58
ENST00000310300.11	84
ENST00000452320.3	1084
ENST00000598098.5	160
ENST00000625256.1	324
ENST00000372297.6	2
ENST00000340513.4	54
ENST00000566709.5	76
ENST00000611066.1	1510
ENST00000262752.5	2
ENST00000247291.8	2
ENST00000361731.4	370
ENST00000648200.2	6670
ENST00000249289.5	192
ENST00000363473.1	380
ENST00000329251.5	11702
ENST00000362079.2	9924
ENST00000196551.8	262
Homo_sapiens_chr17.trna10-GlyTCC	172
ENST00000335972.11	160
ENST00000384238.1	24
ENST00000352980.8	22
ENST00000648819.1	28
ENST00000382070.7	24
ENST00000334478.9	74
ENST00000427161.1	2812
ENST00000583934.1	2784
ENST00000430864.5	22
ENST00000393261.8	20
ENST00000670393.1	474
ENST00000382093.5	22
ENST00000450744.1	682
ENST00000537025.6	42
ENST00000586211.6	2
ENST00000673303.1	1522
ENST00000514624.1	478
ENST00000526975.1	116
ENST00000600659.3	1832
ENST00000321153.9	940
ENST00000304858.7	102
ENST00000590717.2	22
ENST00000423509.6	52
ENST00000272233.6	1572
ENST00000257787.6	202
ENST00000619601.1	654
ENST00000530797.5	838
ENST00000429952.5	3172
ENST00000354480.2	132
ENST00000399672.5	24
ENST00000660839.1	18
ENST00000591832.1	24
ENST00000569981.2	2968
ENST00000513281.5	30
ENST00000409683.5	306
ENST00000318003.11	12
ENST00000652566.1	58
ENST00000567436.2	12
ENST00000638696.1	2
ENST00000366641.4	100
ENST00000443788.1	6
ENST00000320848.7	96
ENST00000595683.5	62
ENST00000530446.5	18
ENST00000585471.1	554
ENST00000636556.1	24
ENST00000371222.4	8420
ENST00000361899.2	4772
ENST00000639711.2	46
ENST00000401609.5	1552
ENST00000262746.5	160
ENST00000360440.5	88
ENST00000541364.5	260
ENST00000579260.5	530
ENST00000333511.9	402
ENST00000395701.7	58
ENST00000338863.12	28
ENST00000619046.4	92
ENST00000660107.1	50
ENST00000643616.1	1514
ENST00000300738.10	38
ENST00000373151.6	130
ENST00000435983.5	454
ENST00000422995.2	1040
ENST00000512454.5	12
ENST00000593917.2	664
ENST00000573308.5	106
ENST00000298316.7	286
