name	count
ENST00000641206.2	554
Homo_sapiens_chr1.trna116-GluCTC	4646
ENST00000667225.1	8
ENST00000380358.9	280
ENST00000557993.5	4
ENST00000309366.9	28
ENST00000663483.1	370
ENST00000556670.6	6
ENST00000611050.4	100
ENST00000371708.1	8
ENST00000396203.7	626
ENST00000638356.1	38442
ENST00000297632.7	84
ENST00000297534.7	58
ENST00000550286.5	18
Homo_sapiens_chr14.trna10-IleAAT	308
ENST00000625598.1	16710
ENST00000302907.9	58
Homo_sapiens_chr1.trna26-AsnGTT	882
ENST00000336767.6	96
ENST00000411543.6	138
ENST00000554369.5	6
ENST00000641036.1	56
ENST00000338825.5	644
ENST00000673221.1	16354
ENST00000355808.9	18
Homo_sapiens_chr17.trna19-ArgTCG	1548
ENST00000264645.12	134
ENST00000420637.5	6
Homo_sapiens_chr15.trna4-ArgTCG	810
ENST00000549855.5	10
ENST00000246194.8	88
ENST00000616292.1	1224
ENST00000389680.2	10906
ENST00000460018.1	2
ENST00000361789.2	7578
ENST00000244571.5	110
ENST00000537442.5	26
ENST00000397992.5	560
ENST00000283646.5	114
ENST00000651076.1	1002
ENST00000585338.1	14
ENST00000372890.6	86
ENST00000301522.3	484
ENST00000345807.7	72
ENST00000558397.1	448
ENST00000327044.7	1424
ENST00000322535.11	262
Homo_sapiens_chr1.trna128-LysCTT	12
ENST00000671641.1	464
ENST00000361624.2	10586
ENST00000608229.1	74
ENST00000505490.3	1668
ENST00000427111.4	1350
ENST00000376759.8	60
ENST00000670070.1	10
ENST00000387347.2	13798
ENST00000536461.5	12
ENST00000517309.6	152
ENST00000642806.1	338
Homo_sapiens_chr1.trna111-HisGTG	258
ENST00000665286.1	68
ENST00000658801.1	280
ENST00000319410.9	40
ENST00000663947.1	2960
ENST00000369886.8	64
ENST00000371095.7	84
Homo_sapiens_chr14.trna7-ArgACG	688
Homo_sapiens_chr14.trna13-LysCTT	3228
ENST00000638517.1	22
ENST00000325997.13	16
ENST00000233025.11	92
ENST00000534871.5	16
ENST00000370562.1	48
ENST00000545712.7	28
ENST00000373586.1	1040
ENST00000354232.8	58
ENST00000631211.1	16446
ENST00000504082.1	984
ENST00000626000.1	24
ENST00000598261.2	122
ENST00000360840.9	40
ENST00000581621.1	1758
Homo_sapiens_chr1.trna50-AsnGTT	34
ENST00000623980.1	102
ENST00000502590.5	70
Homo_sapiens_chr1.trna69-AspGTC	4436
ENST00000629969.1	15062
ENST00000673528.1	17208
ENST00000655441.1	408
ENST00000563931.1	1266
ENST00000562063.1	140
ENST00000585334.1	20
ENST00000232888.7	440
ENST00000403952.3	4
ENST00000667155.1	72
ENST00000253048.10	200
ENST00000264668.6	6
ENST00000495880.2	6
ENST00000555916.1	248
ENST00000374759.8	134
ENST00000530975.4	26
ENST00000354858.11	42
ENST00000660839.1	18
ENST00000300131.8	10
ENST00000562679.5	114
ENST00000610057.1	210
ENST00000393687.6	28
ENST00000480936.1	144
ENST00000514624.1	492
ENST00000619352.4	272
ENST00000535406.5	16
ENST00000666474.1	32
ENST00000343262.9	1610
ENST00000416424.5	78
ENST00000618786.1	1360
ENST00000641597.1	134
ENST00000306024.4	124
ENST00000331569.6	2520
ENST00000380817.8	42
ENST00000373449.7	48
ENST00000623710.1	2
ENST00000438151.2	34
Homo_sapiens_chr11.trna8-SerGCT	2670
ENST00000536368.1	356
ENST00000322203.7	2948
ENST00000660799.1	1314
ENST00000448302.1	4
ENST00000596314.5	112
ENST00000670393.1	358
ENST00000397057.6	14
ENST00000528302.5	202
ENST00000600659.3	1176
ENST00000359462.9	74
ENST00000627981.1	16188
ENST00000570805.1	120
ENST00000615760.4	26
ENST00000626286.1	154
ENST00000610298.1	10
ENST00000447282.5	58
ENST00000569669.6	110
ENST00000571197.1	602
ENST00000662319.1	22
ENST00000316939.3	1660
ENST00000563197.6	26
ENST00000472354.1	180
ENST00000582327.5	8
ENST00000607749.1	1224
ENST00000644137.1	4
ENST00000546966.5	8
ENST00000448516.6	20
ENST00000592558.1	36
ENST00000317447.9	6
ENST00000651064.1	154
ENST00000657512.1	10
ENST00000593124.1	194
ENST00000478753.5	416
ENST00000007390.3	608
ENST00000568976.2	94
ENST00000536117.5	2
ENST00000309311.7	12600
ENST00000647913.2	20
ENST00000655797.1	2
ENST00000619982.4	46
ENST00000588649.7	460
ENST00000159111.9	12
ENST00000619486.1	436
ENST00000307366.8	32
ENST00000396859.5	472
Homo_sapiens_chr8.trna10-MetCAT	944
ENST00000371021.5	70
ENST00000342480.7	616
ENST00000515031.5	2
ENST00000469195.5	14
ENST00000623440.1	1394
ENST00000339411.5	12
ENST00000580902.5	6
ENST00000668488.1	2
ENST00000464845.6	148
Homo_sapiens_chr17.trna23-ArgCCG	704
ENST00000443640.5	12
ENST00000250113.12	280
ENST00000505025.2	754
ENST00000602946.1	3018
ENST00000648951.1	14
ENST00000427161.1	2070
Homo_sapiens_chr1.trna32-MetCAT	744
ENST00000451194.5	4
ENST00000578774.1	34
ENST00000229405.8	14
ENST00000643407.1	46
ENST00000329251.5	6626
ENST00000400295.5	6
ENST00000447070.1	220
ENST00000650312.1	2
ENST00000317995.5	16
ENST00000608477.1	564
ENST00000375036.6	68
ENST00000263702.11	82
ENST00000520980.2	184
ENST00000227524.9	404
ENST00000417363.5	6
ENST00000355797.7	60
ENST00000564445.5	20
ENST00000225698.8	1402
ENST00000393193.6	420
ENST00000623789.1	1008
ENST00000667320.1	4
ENST00000309061.12	98
ENST00000354480.2	50
ENST00000377075.3	60
ENST00000455239.1	456
ENST00000619779.1	1160
ENST00000550994.1	26
ENST00000362482.1	346
Homo_sapiens_chr16.trna22-MetCAT	758
ENST00000367357.3	34
ENST00000569048.5	24
ENST00000647319.1	94
ENST00000604011.5	14
ENST00000217402.3	602
ENST00000533186.5	940
ENST00000361427.6	276
Homo_sapiens_chr6.trna10-AlaCGC	308
ENST00000361851.1	640
ENST00000238647.5	214
ENST00000581373.5	28
ENST00000564585.1	162
ENST00000573564.5	42
ENST00000362079.2	5228
ENST00000399395.7	20
Homo_sapiens_chr6.trna101-AlaAGC	264
ENST00000555572.1	384
ENST00000513009.5	52
ENST00000655775.1	206
ENST00000307365.4	652
ENST00000339647.6	876
ENST00000361961.7	2
ENST00000002165.11	314
ENST00000363500.1	322
ENST00000367993.7	96
ENST00000531869.1	112
ENST00000301821.11	326
ENST00000624264.1	638
ENST00000311895.8	4
ENST00000662068.1	40
ENST00000575877.5	12
ENST00000452368.7	392
ENST00000314666.11	80
ENST00000373932.3	10
ENST00000621674.4	1006
ENST00000454682.5	54
ENST00000629843.2	8
ENST00000321153.9	476
ENST00000653312.1	1262
ENST00000507031.2	410
ENST00000355653.8	44
ENST00000450428.5	8
ENST00000347004.2	22
ENST00000545862.5	86
ENST00000354811.5	118
ENST00000558838.1	30
ENST00000333762.6	1104
ENST00000641383.1	472
ENST00000624054.1	502
ENST00000331782.8	18
ENST00000536769.1	946
ENST00000391851.8	78
ENST00000580534.5	22
ENST00000253193.9	160
ENST00000620446.1	46
ENST00000496292.5	12
ENST00000374804.9	28
ENST00000239165.9	34
ENST00000613839.2	352
ENST00000229390.8	428
ENST00000227266.10	88
ENST00000372554.8	6
ENST00000485071.2	162
ENST00000310137.4	310
ENST00000427280.6	28
ENST00000592141.6	36
ENST00000253686.7	196
ENST00000536889.1	286
ENST00000587062.1	26
ENST00000615252.4	30
ENST00000380668.9	4
ENST00000433274.6	28
ENST00000348462.6	1098
ENST00000271308.9	142
ENST00000393987.2	192
ENST00000290541.7	798
ENST00000374807.9	40
ENST00000457382.6	26
ENST00000615907.4	54
ENST00000446558.5	160
ENST00000246802.10	1108
ENST00000369937.5	768
ENST00000196551.8	116
ENST00000309268.11	578
ENST00000329138.9	50
ENST00000564534.1	78
ENST00000361381.2	3292
ENST00000316448.9	1168
ENST00000369762.7	98
ENST00000319560.7	4
ENST00000610674.1	560
ENST00000336283.7	126
Homo_sapiens_chr16.trna20-MetCAT	460
ENST00000598495.5	132
ENST00000294753.8	102
ENST00000480589.1	2
Homo_sapiens_chr19.trna2-GlyTCC	414
ENST00000394121.8	8
ENST00000216146.9	1070
ENST00000307630.5	44
ENST00000276914.7	60
ENST00000381031.8	18
ENST00000493536.6	56
Homo_sapiens_chr8.trna5-TyrGTA	318
ENST00000441363.1	18
ENST00000401609.5	900
ENST00000595465.6	36
ENST00000290349.11	240
ENST00000215904.7	244
ENST00000361739.1	4360
ENST00000546243.5	8
ENST00000365241.1	56
ENST00000301764.12	148
ENST00000432074.2	14
ENST00000395120.2	10
ENST00000456586.5	144
ENST00000581673.1	1528
ENST00000453141.5	12
ENST00000427183.6	70
ENST00000642095.1	58
ENST00000621608.1	76
ENST00000356244.7	52
ENST00000458500.5	662
ENST00000672860.2	116
mtMetCAT	144
ENST00000647856.1	914
ENST00000659102.1	80
ENST00000623726.1	2602
ENST00000655841.1	8
ENST00000366816.5	58
ENST00000656908.1	32
ENST00000310512.4	196
ENST00000583934.1	1158
ENST00000222247.10	448
ENST00000395839.5	624
ENST00000647388.1	450
ENST00000624072.1	692
ENST00000262570.10	24
ENST00000616177.4	14
ENST00000586636.5	22
ENST00000559473.1	28
Homo_sapiens_chr2.trna2-TyrGTA	336
ENST00000510644.6	6
