sample	ref	var1	var2	pval	odds_ratio	values	pval_corrected	canon_var1	canon_var2
modA0-175_modB0-075_odds0-841	Saccharomyces_cerevisiae_tRNA-Phe-GAA-2	26	58	0.31803483251168624	0.9265859422933536	"26     58   
False  False    15308
True   False     3201
False  True      1249
True   True       242
dtype: int64"	0.3602336290585443	26	58
modA0-675_modB0-675_odds1-414	Saccharomyces_cerevisiae_tRNA-Phe-GAA-2	26	58	2.6494710472874957e-22	1.3636740353945365	"26     58   
True   True     9421
False  True     4107
True   False    4059
False  False    2413
dtype: int64"	8.959563928025349e-22	26	58
modA0-075_modB0-575_odds1-414	Saccharomyces_cerevisiae_tRNA-Phe-GAA-2	26	58	6.859824888779535e-14	1.5174013693524022	"26     58   
False  True     10456
       False     8036
True   True      1001
       False      507
dtype: int64"	1.7027934121083952e-13	26	58
modA0-675_modB0-275_odds1-000	Saccharomyces_cerevisiae_tRNA-Phe-GAA-2	26	58	0.4376704723281002	0.973811523714575	"26     58   
True   False    9799
False  False    4630
True   True     3751
False  True     1820
dtype: int64"	0.48020271258568986	26	58
modA0-875_modB0-675_odds0-707	Saccharomyces_cerevisiae_tRNA-Phe-GAA-2	26	58	1.5991238697571354e-12	0.7172894433746276	"26     58   
True   True     11567
       False     5919
False  True      1839
       False      675
dtype: int64"	3.7188927203654315e-12	26	58
modA0-975_modB0-275_odds0-500	Saccharomyces_cerevisiae_tRNA-Phe-GAA-2	26	58	5.079172808956766e-11	0.5312389531293256	"26     58   
True   False    14230
       True      5289
False  False      283
       True       198
dtype: int64"	1.1076077776541235e-10	26	58
modA0-175_modB0-375_odds0-500	Saccharomyces_cerevisiae_tRNA-Phe-GAA-2	26	58	2.9659703337086365e-68	0.4887006888677715	"26     58   
False  False    9887
       True     6681
True   False    2580
       True      852
dtype: int64"	2.471641944757197e-67	26	58
modA0-175_modB0-275_odds0-500	Saccharomyces_cerevisiae_tRNA-Phe-GAA-2	26	58	2.7661838906985173e-56	0.48786366825331823	"26     58   
False  False    11569
       True      4924
True   False     2904
       True       603
dtype: int64"	1.9758456362132264e-55	26	58
modA0-575_modB0-075_odds1-189	Saccharomyces_cerevisiae_tRNA-Phe-GAA-2	26	58	6.174273109310303e-05	1.2507565048447846	"26     58   
True   False    10532
False  False     8002
True   True       912
False  True       554
dtype: int64"	9.498881706631235e-05	26	58
modA0-875_modB0-775_odds0-841	Saccharomyces_cerevisiae_tRNA-Phe-GAA-2	26	58	0.0046120581744825435	0.8615846195256199	"26     58   
True   True     13479
       False     4013
False  True      1996
       False      512
dtype: int64"	0.006256668066158489	26	58
modA0-675_modB0-875_odds1-000	Saccharomyces_cerevisiae_tRNA-Phe-GAA-2	26	58	0.9090554620500739	0.9937930475633392	"26     58   
True   True     11765
False  True      5756
True   False     1668
False  False      811
dtype: int64"	0.9180582305863353	26	58
